Complaint ID,Customer ID,Complaint Text,Category,,,,,
1,CUST9740,The Air India app keeps freezing while booking tickets.,Ticket Booking Problems,,,,,
2,CUST2246,The washrooms were dirty and not maintained during the flight.,In-flight Experience,,,,,
3,CUST2134,Payment gateway failed multiple times while booking international tickets.,Ticket Booking Problems,,,,,
4,CUST6401,Cabin crew were unprofessional and inattentive during the entire journey.,In-flight Experience,,,,,
5,CUST2782,Refund was promised on call but never processed.,Refund Issues,,,,,
6,CUST4215,The staff refused to provide updates during a long flight delay.,Flight Delay,,,,,
7,CUST9425,The baggage was returned but items inside were missing.,Baggage Issues,,,,,
8,CUST1230,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
9,CUST9722,My luggage was loaded onto the wrong flight and delivered late.,Baggage Issues,,,,,
10,CUST6893,Refund claim was closed without informing me.,Refund Issues,,,,,
11,CUST2749,Customer care did not bother to resolve my issue even after multiple calls.,Customer Service,,,,,
12,CUST6600,My bag handle was broken and no assistance was provided.,Baggage Issues,,,,,
13,CUST6040,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
14,CUST2335,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
15,CUST7623,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
16,CUST7509,I didn’t get my baggage on time and no one at the airport helped me properly.,Baggage Issues,,,,,
17,CUST6100,Customer care made me wait on hold for 40 minutes and disconnected.,Customer Service,,,,,
18,CUST6409,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
19,CUST4161,I cancelled my Air India ticket but refund is still pending after 20 days.,Refund Issues,,,,,
20,CUST5376,I couldn’t complete my booking due to payment gateway issues on the website.,Ticket Booking Problems,,,,,
21,CUST8412,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
22,CUST9999,The Air India customer support was very rude and disconnected my call.,Customer Service,,,,,
23,CUST9950,"Even after cancellation, refund status shows as 'in process' for two months.",Refund Issues,,,,,
24,CUST5380,The Air India app keeps freezing while booking tickets.,Ticket Booking Problems,,,,,
25,CUST6814,"My baggage arrived on the next day, causing huge inconvenience.",Baggage Issues,,,,,
26,CUST9520,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
27,CUST6126,I was hung up on twice by customer service agents.,Customer Service,,,,,
28,CUST6942,Baggage was missing and I got it after 48 hours without compensation.,Baggage Issues,,,,,
29,CUST5506,The food served was stale and the entertainment system was not working.,In-flight Experience,,,,,
30,CUST4501,Customer care kept giving conflicting answers regarding my complaint.,Customer Service,,,,,
31,CUST3784,Flight was delayed after boarding and we were kept waiting in the plane.,Flight Delay,,,,,
32,CUST3822,My Air India flight got delayed by 4 hours without any prior notice.,Flight Delay,,,,,
33,CUST8140,Customer service kept ignoring my follow-up emails.,Customer Service,,,,,
34,CUST1115,Customer care kept giving conflicting answers regarding my complaint.,Customer Service,,,,,
35,CUST7491,Flight was delayed repeatedly and no meals were provided.,Flight Delay,,,,,
36,CUST8081,Cabin was dirty and there was no blanket on a long flight.,In-flight Experience,,,,,
37,CUST5659,My flight was rescheduled at the last moment without informing me.,Flight Delay,,,,,
38,CUST2875,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
39,CUST6282,The customer support executive kept transferring my call without resolution.,Customer Service,,,,,
40,CUST3011,Flight delay updates were not announced at the airport.,Flight Delay,,,,,
41,CUST9363,"Refund was partially processed without explanation, no response to emails.",Refund Issues,,,,,
42,CUST4302,The representative I spoke to was not able to help and was very impatient.,Customer Service,,,,,
43,CUST5800,Unable to book tickets as the website crashes every time I make a payment.,Ticket Booking Problems,,,,,
44,CUST6033,Refund claim was closed without informing me.,Refund Issues,,,,,
45,CUST3524,Customer care kept giving conflicting answers regarding my complaint.,Customer Service,,,,,
46,CUST1140,Customer service kept ignoring my follow-up emails.,Customer Service,,,,,
47,CUST5573,Payment gateway failed multiple times while booking international tickets.,Ticket Booking Problems,,,,,
48,CUST3785,Payment gateway failed multiple times while booking international tickets.,Ticket Booking Problems,,,,,
49,CUST1059,Customer service kept ignoring my follow-up emails.,Customer Service,,,,,
